,Timestamps,Temperature,Humidity,Pressure,Distance,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magnox,Magnoy,Magnoz
0,2022-01-11 01:27:42.192536,25.4,61.1,997.0,20.0,1.74,0.28,3.73,3.71,-1.68,5.18,-312.75,34.0,-421.38
1,2022-01-11 01:27:42.239432,25.4,61.1,997.0,107.0,1.74,0.28,3.73,4.2,1.05,5.74,-319.25,38.25,-411.25
2,2022-01-11 01:27:42.302258,25.4,61.2,997.0,110.0,1.74,0.28,3.73,4.2,1.05,5.74,-316.5,46.75,-417.63
3,2022-01-11 01:27:42.348817,25.4,61.2,997.0,114.0,1.73,0.29,3.74,4.55,3.57,5.6,-325.25,36.75,-405.5
4,2022-01-11 01:27:42.426946,25.4,60.8,997.0,112.0,1.73,0.28,3.74,5.25,0.77,5.32,-318.25,43.25,-404.63
5,2022-01-11 01:27:42.489446,25.4,60.8,997.0,111.0,1.73,0.28,3.75,5.25,-1.19,4.62,-312.5,44.0,-419.63
6,2022-01-11 01:27:42.551951,25.4,60.8,997.0,111.0,1.73,0.28,3.75,5.25,-1.19,4.62,-318.25,43.0,-408.0
7,2022-01-11 01:27:42.583198,25.4,61.0,997.0,111.0,1.73,0.29,3.75,4.69,-4.76,3.92,-314.0,41.5,-418.88
8,2022-01-11 01:27:42.645689,25.4,61.0,997.0,114.0,1.73,0.28,3.75,4.06,-2.45,5.25,-323.0,36.75,-398.5
9,2022-01-11 01:27:42.708192,25.4,61.0,997.0,112.0,1.73,0.29,3.75,3.85,-3.15,4.69,-321.75,45.0,-415.88
10,2022-01-11 01:27:42.770697,25.4,61.0,997.0,110.0,1.73,0.29,3.75,3.85,-3.15,4.69,-317.5,41.5,-412.75
11,2022-01-11 01:27:42.833202,25.4,60.7,997.0,111.0,1.73,0.28,3.74,3.64,-4.9,5.11,-315.75,41.0,-418.5
12,2022-01-11 01:27:42.895705,25.4,60.7,997.0,114.0,1.73,0.28,3.74,3.99,-2.38,4.97,-322.25,36.25,-410.88
13,2022-01-11 01:27:42.958209,25.4,60.7,997.0,113.0,1.73,0.29,3.73,3.71,-2.8,4.9,-320.5,38.75,-405.75
14,2022-01-11 01:27:43.020716,25.4,61.3,997.0,113.0,1.73,0.29,3.73,3.71,-2.8,4.9,-321.75,46.75,-399.25
15,2022-01-11 01:27:43.051968,25.4,61.3,997.0,112.0,1.73,0.28,3.73,4.2,0.21,5.25,-323.75,43.25,-399.63
16,2022-01-11 01:27:43.114470,25.4,61.1,997.0,112.0,1.73,0.28,3.74,4.62,0.77,5.11,-316.75,34.75,-413.0
17,2022-01-11 01:27:43.176977,25.4,61.1,997.0,111.0,1.73,0.28,3.73,4.13,-3.08,4.34,-321.0,36.5,-403.25
18,2022-01-11 01:27:43.239477,25.4,61.1,997.0,109.0,1.73,0.28,3.73,4.13,-3.08,4.34,-317.5,50.0,-418.63
19,2022-01-11 01:27:43.301981,25.3,59.9,997.0,112.0,1.73,0.29,3.73,4.13,-4.27,4.27,-318.5,41.0,-400.13
20,2022-01-11 01:27:43.364484,25.3,59.9,997.0,110.0,1.73,0.28,3.73,3.43,-2.59,5.04,-313.75,40.25,-416.25
21,2022-01-11 01:27:43.426989,25.3,61.0,997.0,112.0,1.73,0.29,3.73,3.71,-3.71,4.69,-324.25,40.75,-411.13
22,2022-01-11 01:27:43.489494,25.3,61.0,997.0,113.0,1.73,0.29,3.73,3.71,-3.71,4.69,-313.25,41.0,-402.38
23,2022-01-11 01:27:43.520745,25.4,60.7,997.0,110.0,1.73,0.28,3.73,3.71,-1.19,5.11,-318.0,39.25,-410.88
24,2022-01-11 01:27:43.583497,25.4,60.7,997.0,112.0,1.73,0.28,3.73,3.92,-1.33,4.76,-316.25,42.0,-402.63
25,2022-01-11 01:27:43.645754,25.4,60.7,997.0,112.0,1.73,0.28,3.73,3.99,-2.52,4.62,-311.75,36.75,-415.63
26,2022-01-11 01:27:43.708257,25.4,60.7,997.0,116.0,1.73,0.28,3.73,3.99,-2.52,4.62,-318.25,34.5,-400.5
27,2022-01-11 01:27:43.770779,25.4,60.7,997.0,113.0,1.73,0.29,3.73,3.57,-3.71,4.2,-319.5,39.25,-416.75
28,2022-01-11 01:27:43.833284,25.3,60.7,997.0,110.0,1.72,0.28,3.73,3.15,-2.38,5.18,-316.75,42.5,-406.25
29,2022-01-11 01:27:43.895788,25.3,60.7,997.0,112.0,1.73,0.28,3.74,3.71,-1.61,4.69,-317.75,42.0,-412.25
30,2022-01-11 01:27:43.942666,25.4,61.1,997.0,114.0,1.73,0.28,3.74,3.71,-1.61,4.69,-322.0,38.5,-417.13
31,2022-01-11 01:27:44.005157,25.4,61.1,997.0,111.0,1.73,0.28,3.74,3.71,-2.59,4.97,-312.5,39.25,-408.88
32,2022-01-11 01:27:44.067669,25.4,61.1,997.0,111.0,1.73,0.28,3.74,3.71,-2.17,4.83,-323.75,41.5,-408.75
33,2022-01-11 01:27:44.130164,25.4,60.9,997.0,109.0,1.73,0.29,3.74,3.43,-3.57,4.62,-327.75,37.75,-410.25
34,2022-01-11 01:27:44.177048,25.4,60.9,997.0,109.0,1.73,0.29,3.74,3.43,-3.57,4.62,-320.25,40.0,-411.38
35,2022-01-11 01:27:44.239539,25.5,60.7,997.0,110.0,1.72,0.28,3.73,3.29,-1.68,5.67,-318.75,41.75,-392.5
