,Microphone
532,-15620
533,-15764
534,-16204
535,-16028
536,-16340
537,-16292
538,-16644
539,-16724
540,-16964
541,-16500
542,-16380
543,-15788
544,-15668
545,-14868
546,-14628
547,-14724
548,-15508
549,-15628
550,-15932
551,-15660
552,-15612
553,-15868
554,-15556
555,-15252
556,-15028
557,-15324
558,-16260
559,-15324
560,-15620
561,-15516
562,-15660
563,-15996
564,-15204
565,-15668
566,-15564
567,-15980
568,-16052
569,-15860
570,-15804
571,-15452
572,-15372
573,-15268
574,-14956
575,-14812
576,-14716
577,-14684
578,-15220
579,-16012
580,-15924
581,-15908
582,-15996
583,-15604
584,-15484
585,-15716
586,-14868
587,-14228
588,-14612
589,-14908
590,-14628
591,-14724
592,-15140
593,-15380
594,-14972
595,-15204
596,-15268
597,-15132
598,-15132
599,-15572
600,-15060
601,-15124
602,-15004
603,-15076
604,-14588
605,-14380
606,-14396
607,-14988
608,-15228
609,-15524
610,-14876
611,-15052
612,-15116
613,-15220
614,-14972
615,-14708
616,-14132
617,-14404
618,-14172
619,-14572
620,-14652
621,-15092
622,-15116
623,-15212
624,-15580
625,-15660
626,-16484
627,-16732
628,-16468
629,-16300
630,-15708
631,-15972
632,-15036
633,-15324
634,-15108
635,-15292
636,-15596
637,-15580
638,-15076
639,-15260
640,-15124
641,-15116
642,-15044
643,-15052
644,-15188
645,-15388
646,-15172
647,-15548
648,-15468
649,-14940
650,-15116
651,-15516
652,-16612
653,-16516
654,-16116
655,-15460
656,-15356
657,-15660
658,-15740
659,-15820
660,-15636
661,-15076
662,-15044
663,-15220
664,-15764
665,-16132
666,-16356
667,-16860
668,-16732
669,-16708
670,-16876
671,-16572
672,-16212
673,-15588
674,-15652
675,-15660
676,-15316
677,-15388
678,-15580
679,-15044
680,-15588
681,-15716
682,-16348
683,-16564
684,-16476
685,-15540
686,-15476
687,-15412
688,-15148
689,-15292
690,-15892
691,-15812
692,-15652
693,-14580
694,-14340
695,-14868
696,-16012
697,-16676
698,-16748
699,-16364
700,-15932
701,-16676
702,-16244
703,-16124
704,-15796
705,-15540
706,-15732
707,-16236
708,-16436
709,-16396
710,-15884
711,-15604
712,-15780
713,-15700
714,-15852
715,-16388
716,-15916
717,-15972
718,-16028
719,-15556
720,-14964
721,-14412
722,-14428
723,-14852
724,-15028
725,-14940
726,-15356
727,-15332
728,-15572
729,-15900
730,-16220
731,-15868
732,-16092
733,-15284
734,-15220
735,-15180
736,-15884
737,-15932
738,-15356
739,-14852
740,-14260
741,-14332
742,-14588
743,-14828
744,-15644
745,-15700
746,-15612
747,-15140
748,-14164
749,-13708
750,-13740
751,-14612
752,-14972
753,-14900
754,-14740
755,-14372
756,-14452
757,-14484
758,-14772
759,-14436
760,-14412
761,-14804
762,-15092
763,-15132
764,-14428
765,-13876
766,-13468
767,-14420
768,-14772
769,-15388
770,-15460
771,-15228
772,-15484
773,-15972
774,-16284
775,-16236
776,-15780
777,-15452
778,-15908
779,-16076
780,-15700
781,-14940
782,-14724
783,-14636
784,-14708
785,-14724
786,-15164
787,-14836
788,-15388
789,-15540
790,-15700
791,-14908
792,-14244
793,-14028
794,-14700
795,-15308
796,-14932
797,-13980
798,-14396
799,-14604
800,-15084
801,-15508
802,-15908
803,-15988
804,-16404
805,-16460
806,-16324
807,-15532
808,-15772
809,-15164
810,-14756
811,-14812
812,-14468
813,-14516
814,-14508
815,-14836
816,-15244
817,-15644
818,-16020
819,-15996
820,-15868
821,-15644
822,-16324
823,-16460
824,-16260
825,-15548
826,-14684
827,-14724
828,-14884
829,-14820
830,-14788
831,-14956
832,-15516
833,-15932
834,-16132
835,-15644
836,-15148
837,-14572
838,-14548
839,-14956
840,-14732
841,-14980
842,-14932
843,-15268
844,-15292
845,-15476
846,-15948
847,-16628
848,-16876
849,-17220
850,-16684
851,-16004
852,-16108
853,-16172
854,-16244
855,-16556
856,-16548
857,-15940
858,-15060
859,-14924
860,-15604
861,-16044
862,-16196
863,-15916
864,-15412
865,-15212
866,-15156
867,-15132
868,-15652
869,-15348
870,-14844
871,-14596
872,-14660
873,-15620
874,-15900
875,-16156
876,-16132
877,-15996
878,-16124
879,-16236
880,-16036
881,-15548
882,-16140
883,-16484
884,-16148
885,-15588
886,-14860
887,-14404
888,-14564
889,-15060
890,-15452
891,-15220
892,-15508
893,-15300
894,-15044
895,-15420
896,-15204
897,-14804
898,-14756
899,-14908
900,-15460
901,-15756
902,-15284
903,-14972
904,-14524
905,-14748
906,-14668
907,-13948
