,Timestamps,Temperature,Humidity,Pressure,Distance,Accx,Accy,Accz,Gyrox,Gyroy,Gyroz,Magnox,Magnoy,Magnoz
42,2022-01-11 01:30:04.441037,26.2,59.2,997.0,123.0,1.88,0.33,3.66,4.27,-2.45,4.76,-285.75,14.25,-379.0
43,2022-01-11 01:30:04.503542,26.4,59.1,997.0,124.0,1.88,0.33,3.66,4.27,-2.45,4.76,-284.25,5.0,-389.0
44,2022-01-11 01:30:04.566341,26.4,59.1,997.0,123.0,1.88,0.33,3.66,4.48,-2.59,4.55,-287.25,2.0,-391.13
45,2022-01-11 01:30:04.644162,26.3,58.8,997.0,127.0,1.88,0.33,3.66,4.62,-2.59,4.62,-283.0,12.75,-395.5
46,2022-01-11 01:30:04.659791,26.3,58.8,997.0,122.0,1.88,0.34,3.66,4.48,-2.59,4.62,-288.5,11.0,-398.0
47,2022-01-11 01:30:04.722311,26.3,58.8,997.0,121.0,1.88,0.34,3.66,4.48,-2.59,4.62,-280.5,14.25,-391.5
48,2022-01-11 01:30:04.800423,26.4,59.0,997.0,123.0,1.88,0.33,3.66,4.62,-2.73,4.69,-285.75,13.5,-394.63
49,2022-01-11 01:30:04.847303,26.4,59.0,997.0,125.0,1.88,0.34,3.66,4.27,-2.73,4.69,-277.5,5.25,-390.0
50,2022-01-11 01:30:04.909820,26.3,58.9,997.0,123.0,1.88,0.34,3.66,4.48,-2.73,4.62,-288.25,10.5,-397.13
51,2022-01-11 01:30:04.972322,26.3,58.9,997.0,123.0,1.88,0.34,3.66,4.48,-2.73,4.62,-283.5,16.0,-381.88
52,2022-01-11 01:30:05.019205,26.3,58.9,997.0,126.0,1.88,0.33,3.66,4.76,-2.87,4.55,-278.0,11.5,-391.88
53,2022-01-11 01:30:05.081710,26.4,58.4,997.0,125.0,1.88,0.33,3.66,4.69,-2.94,4.55,-280.25,15.75,-390.0
54,2022-01-11 01:30:05.144197,26.4,58.4,997.0,124.0,1.88,0.34,3.66,4.55,-2.87,4.48,-279.75,15.75,-401.25
55,2022-01-11 01:30:05.206700,26.4,58.9,997.0,123.0,1.88,0.34,3.66,4.55,-2.87,4.48,-283.75,16.25,-383.5
56,2022-01-11 01:30:05.269215,26.4,58.9,997.0,122.0,1.88,0.34,3.66,4.41,-2.73,4.55,-278.0,9.5,-386.63
57,2022-01-11 01:30:05.316424,26.5,58.8,997.0,122.0,1.88,0.34,3.66,4.62,-2.8,4.48,-288.0,14.75,-387.5
58,2022-01-11 01:30:05.378602,26.5,58.8,997.0,123.0,1.88,0.34,3.66,4.41,-2.73,4.62,-280.25,15.0,-395.5
59,2022-01-11 01:30:05.441107,26.5,58.8,997.0,126.0,1.88,0.34,3.66,4.41,-2.73,4.62,-277.25,16.25,-389.25
